"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZBTB20-AS5",4.22083364612308e-39,-11.4402359598025,0.188,0.342,1.54267248932152e-34
"PRKN",4.22977113761203e-39,1.8744995769808,0.641,0.498,1.54593905308582e-34
"ENSG00000285399",4.24783403132103e-39,2.00876183483795,0.169,0.079,1.55254086010752e-34
"SKI",4.25916136788546e-39,-6.2075633020334,0.157,0.307,1.55668088834846e-34
"CLEC2D",4.45397906212949e-39,-3.58840400004756,0.043,0.165,1.62788480741771e-34
"LINC02240",4.46721703937657e-39,-58.7123701661862,0.138,0.06,1.63272315572174e-34
"TXNDC11",4.52499193591621e-39,-2.02741459623936,0.242,0.132,1.65383930265802e-34
"PPFIA3",4.53768056726328e-39,1.42160807525053,0.228,0.122,1.65847687052905e-34
"HS3ST2",4.87517073538935e-39,19.1868391943073,0.053,0.014,1.78182615207745e-34
"FAM66C",5.07600626092259e-39,-2.98831348021258,0.112,0.256,1.8552295283046e-34
"ARSG",5.27090947552751e-39,0.211089560246865,0.273,0.154,1.92646470421055e-34
"LCP1",5.32354374087863e-39,-0.379389491736835,0.021,0.003,1.94570200185373e-34
"CREBL2",5.34001572794218e-39,1.79623168466959,0.255,0.142,1.95172234840559e-34
"ENSG00000246250",5.54456555435833e-39,1.19275028471714,0.206,0.105,2.02648326446243e-34
"PSMB9",5.95026477152135e-39,-4.87044569846041,0.009,0.114,2.17476227134334e-34
"GSG1L",6.48171412094448e-39,-16.4030217512115,0.127,0.053,2.369001694064e-34
"LNCOC1",6.49030139352342e-39,2.12301171947078,0.047,0.012,2.37214025631887e-34
"SORBS3",6.56775610989614e-39,-2.907000638259,0.049,0.172,2.40044918060594e-34
"NRIP1",6.59974373537913e-39,-14.5324148933237,0.63,0.505,2.41214033784372e-34
"HDAC2",6.82131022241758e-39,-59.1617195728288,0.563,0.689,2.4931206731914e-34
"NBPF14",6.92087569901812e-39,-5.40871689550648,0.044,0.165,2.52951085923413e-34
"SSR2",6.92940701357509e-39,-39.6055251341251,0.563,0.702,2.53262896939156e-34
"ZBTB7A",7.14687937466059e-39,2.41036851534893,0.382,0.251,2.6121129426447e-34
"GSTCD",7.61846949597957e-39,-4.85589071816532,0.388,0.254,2.78447441608557e-34
"ENSG00000287621",8.38859873738179e-39,-16.2379026621447,0.176,0.085,3.06594895252567e-34
"ENSG00000225087",8.7785788232047e-39,-1.61473660101082,0.087,0.03,3.20848277409309e-34
"ABI1",9.16328959176685e-39,-168.215776825047,0.322,0.47,3.34909071289486e-34
"KCNA5",9.27689727030078e-39,2.57786316898702,0.033,0.006,3.39061318332223e-34
"SNHG10",1.07726641036212e-38,0.90946149267573,0.202,0.103,3.93730100323252e-34
"NAA25",1.12921756521529e-38,4.98853307985112,0.509,0.389,4.12717727910538e-34
"HMGA2",1.19846207082826e-38,-50.9846118492591,0.059,0.016,4.38025902267021e-34
"ATM",1.23000473666007e-38,-93.317093347623,0.627,0.488,4.49554431201887e-34
"COX7A2L",1.24451571947518e-38,-31.1542205557946,0.716,0.615,4.54858050310983e-34
"PIEZO2",1.27835107915997e-38,-59.9766992943766,0.039,0.157,4.67224535922177e-34
"ESR2",1.3467261177201e-38,-36.3921798703136,0.257,0.411,4.92214928765518e-34
"SCN3B",1.48561672036953e-38,-24.9350643064837,0.278,0.158,5.4297805512786e-34
"FAM219B",1.49377649871074e-38,-35.4146040696045,0.401,0.27,5.45960372513788e-34
"ETFRF1",1.5836080078721e-38,-0.713008657732435,0.52,0.37,5.78792890797175e-34
"SMPD2",1.59401285119277e-38,1.92555313498454,0.053,0.014,5.82595756982446e-34
"LINC00665",1.60536014284975e-38,3.22551122976073,0.375,0.247,5.86743078610154e-34
"ENSG00000232682",1.64511957124879e-38,1.60480885540966,0.074,0.024,6.01274752095719e-34
"ARPC4",1.78202548310391e-38,-4.4632437261394,0.147,0.293,6.51312493819647e-34
"CLIC4",1.80948920901628e-38,-51.8713667339157,0.359,0.514,6.6135021100336e-34
"IFT122",1.84809838746096e-38,-1.52918149603137,0.25,0.137,6.75461479633106e-34
"PLA2G12A",1.89236391582256e-38,0.693158157282991,0.437,0.309,6.91640087593986e-34
"DMXL2",1.90765695867668e-38,2.53055895636191,0.528,0.397,6.9722954182674e-34
"ZBTB18",1.98390242837554e-38,-36.1578888947803,0.28,0.423,7.25096498546977e-34
"TIGD4",2.0060487119056e-38,1.68251178811662,0.137,0.059,7.33190743714376e-34
"ENSG00000260378",2.11303181728819e-38,2.79596054614721,0.022,0.003,7.72291998900661e-34
"KLHL35",2.20897472599634e-38,10.9183199905834,0.113,0.256,8.07358172604401e-34
"BST2",2.2522628707777e-38,-38.444611550643,0.005,0.105,8.23179556640541e-34
"ENSG00000237343",2.37385435444505e-38,2.62701972511081,0.039,0.008,8.67620028006121e-34
"ENSG00000267053",2.37443642947488e-38,2.11537534217806,0.196,0.1,8.67832770608773e-34
"ENSG00000253471",2.44479234812438e-38,2.59670642285889,0.032,0.006,8.93547155315979e-34
"UQCC3",2.46053369091862e-38,0.739198761999927,0.373,0.241,8.99300458693847e-34
"REXO2",2.61654423083801e-38,-9.71507461573859,0.189,0.328,9.56320750928984e-34
"TMEM231",2.62674816159894e-38,1.49646958914225,0.188,0.093,9.60050185582796e-34
"MCF2L",2.66223087520592e-38,-1.24624849729307,0.389,0.259,9.73018762579011e-34
"NT5C",2.66336174201954e-38,3.67648255858398,0.417,0.275,9.73432083090723e-34
"C11orf1",2.66823533703144e-38,2.220897520512,0.217,0.115,9.75213333331622e-34
"OARD1",3.15245630265867e-38,1.81163910355191,0.448,0.312,1.15219125405872e-33
"CENPK",3.58019236636744e-38,-25.5022248957312,0.037,0.152,1.30852450798364e-33
"KLHL41",3.58436463927241e-38,0.891623343010668,0.048,0.012,1.31004943200767e-33
"LINC00632",3.63996616779751e-38,-40.2504812689446,0.698,0.595,1.33037123466831e-33
"TBXAS1",3.73318998807338e-38,-5.96558972855489,0.112,0.044,1.36444360874094e-33
"LPAR1",3.8907644564955e-38,-35.0172384768687,0.021,0.131,1.42203550120454e-33
"ENSG00000232006",4.09584736781652e-38,-49.3020632055492,0.067,0.02,1.49699125446326e-33
"MBTPS1",4.12599389363611e-38,-8.63672412786231,0.532,0.397,1.50800950818506e-33
"KATNIP",4.1361062255776e-38,-5.2280547921416,0.379,0.248,1.51170546438636e-33
"PTENP1-AS",4.20350842609787e-38,3.4556044293742,0.142,0.063,1.53634029465451e-33
"GOLPH3L",4.29309501422687e-38,1.59792820223587,0.246,0.136,1.56908329674978e-33
